article_id,article_version,hcpc_modifier_group,paragraph,last_updated
54422,21,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/09/2026
54498,24,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/09/2026
55294,34,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/09/2026
54386,38,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/09/2026
54975,17,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/09/2026
55595,17,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/09/2026
55711,24,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/09/2026
57670,8,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/06/2026
58573,13,1,,02/06/2026
56587,48,1,,02/06/2026
57332,55,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/05/2026
57487,10,1,,02/05/2026
57517,13,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/05/2026
57527,84,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/05/2026
57892,37,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/05/2026
58053,8,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/05/2026
58187,25,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/05/2026
58681,29,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/05/2026
58997,29,1,,02/05/2026
59511,5,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/05/2026
59837,8,1,,02/05/2026
59874,9,1,,02/05/2026
53057,67,1,,02/04/2026
53058,65,1,,02/04/2026
56730,27,1,,02/04/2026
56717,35,1,,02/04/2026
53065,76,1,,02/04/2026
53064,87,1,,02/04/2026
56432,25,1,,02/04/2026
59371,7,1,,02/04/2026
59036,23,1,&lt;p&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;The following modifier would need to be appropriately utilized if the AWV and Cognitive Assessment and Care plan services are done at the same visit &lt;&sol;span&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;and would only be appropriate for a truly separate and fully complete provision of the 99483 service above and beyond all the AWV components.&lt;&sol;span&gt;&lt;&sol;p&gt;,02/04/2026
56008,12,1,,01/29/2026
56777,16,1,,01/27/2026
59030,13,1,,01/27/2026
59498,10,1,,01/27/2026
58354,15,1,,01/27/2026
53793,38,1,,01/27/2026
59672,8,1,,01/27/2026
59723,10,1,,01/27/2026
58876,12,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,01/27/2026
56852,24,1,,01/27/2026
58008,22,1,,01/27/2026
56658,42,1,,01/27/2026
59028,12,1,"&lt;p&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;For reimbursement to be considered, claims must include the nail on which the procedure is performed using 1 of the modifiers listed below to identify the digit.&lt;&sol;span&gt;&lt;&sol;p&gt;",01/27/2026
57372,18,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,01/26/2026
57516,12,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,01/26/2026
57329,18,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,01/26/2026
57486,10,1,,01/26/2026
57619,8,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,01/26/2026
58052,9,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,01/26/2026
58181,24,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,01/26/2026
58183,19,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,01/26/2026
58973,27,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,01/26/2026
59509,5,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,01/26/2026
59835,8,1,,01/26/2026
59872,9,1,,01/26/2026
58996,31,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,01/26/2026
59764,16,1,,01/23/2026
